# Indirection Detection Limits
# Spectrum: ./Spectrum11_all.dat
#Units: DM mass = GeV, <sigma v> = cm^3 s⁻1
mDM SigmaV
554.28 7.455470737546624e-27
565.36 7.522201693808192e-27
576.67 7.58817668726087e-27
588.2 7.647555093474358e-27
599.97 7.709327370706102e-27
624.21 7.818187970878927e-27
636.69 7.872802536099855e-27
675.66 8.017697626440611e-27
689.17 8.063138100116757e-27
791.64 8.362862841359326e-27
840.1 8.49191491747611e-27
856.9 8.530820500479335e-27
1176.3 9.268977493076249e-27
1351.2 9.664593833706277e-27
1491.9 9.98303972922182e-27
1614.9 1.0256244052041624e-26
2048.0 1.1213490416847548e-26
2702.3 1.2583596821619272e-26
3104.1 1.3379363221748178e-26
3783.9 1.464873160537257e-26
4015.5 1.5062766268817543e-26
5194.5 1.7024947033621824e-26
5512.5 1.751807436602217e-26
7567.4 2.0494709028998213e-26
8030.6 2.1122786343880535e-26
11699.0 2.5741360036063852e-26
12415.0 2.6591307402516434e-26
18087.0 3.309358685667142e-26
19194.0 3.4336675174909774e-26
